udp,select,poll,sys,dev,etc,root,mkdir,connect,tcp,clone_API,proc,var,network_http,File_IO,accept,home,munmap,rename,mmap,chdir_API,network_connection,execve_API,attack_map
0,40,14,0,5,36,0,0,0,148,0,0,12,2,68,3,0,8,0,8,4,156,0,0
0,40,23,0,0,72,0,0,0,283,0,0,24,4,130,4,0,16,0,16,8,299,0,0
0,40,16,0,0,36,0,0,0,153,0,0,24,4,94,3,0,8,0,8,8,161,0,0
0,40,5,0,0,0,0,0,0,16,0,0,12,2,44,2,0,0,0,0,4,16,0,0
0,40,19,0,0,36,0,0,0,172,0,0,69,8,203,3,0,8,0,8,16,180,0,0
0,40,3,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,4,0,0
0,40,16,0,0,36,0,0,0,153,0,0,45,4,115,3,0,8,0,8,8,161,0,0
0,40,13,0,0,36,0,0,0,149,0,0,45,4,115,2,0,8,0,8,8,157,0,0
0,40,3,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,4,0,0
0,40,15,0,0,36,0,0,0,151,0,0,45,4,115,2,0,8,0,8,8,159,0,0
0,44,44,0,0,108,0,0,0,452,0,0,72,12,282,8,0,24,0,24,24,476,0,0
0,40,16,0,0,36,0,0,0,153,0,0,24,4,94,3,0,8,0,8,8,161,0,0
0,40,1,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,2,0,0
0,40,17,0,0,36,0,0,0,163,0,0,57,6,144,3,0,8,0,8,12,171,0,0
0,40,3,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,4,0,0
0,42,4,0,0,0,0,0,0,14,0,0,12,2,29,1,0,0,0,0,4,14,0,0
0,40,30,0,0,72,0,0,0,306,0,0,48,8,188,5,0,16,0,16,16,322,0,0
0,40,14,0,0,36,0,0,0,148,0,0,12,2,65,3,0,8,0,8,4,156,0,0
0,44,1,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,2,0,0
0,40,14,0,0,36,0,0,0,148,0,0,12,2,65,3,0,8,0,8,4,156,0,0
0,40,39,0,0,108,0,0,0,440,0,0,48,8,224,7,0,24,0,24,16,464,0,0
0,40,3,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,4,0,0
0,40,3,0,0,0,0,0,0,12,0,0,12,2,44,0,0,0,0,0,4,12,0,0
0,44,5,0,0,0,0,0,0,16,0,0,12,2,44,2,0,0,0,0,4,16,0,0
0,44,31,0,0,72,0,0,0,309,0,0,102,10,274,5,0,16,0,16,20,325,0,0
0,40,3,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,4,0,0
0,43,13,0,0,36,0,0,0,149,0,0,45,4,115,2,0,8,0,8,8,157,0,0
0,40,14,0,0,36,0,0,0,151,0,0,45,4,115,3,0,8,0,8,8,159,0,0
0,40,3,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,4,0,0
0,40,16,0,0,36,0,0,0,153,0,0,45,4,115,3,0,8,0,8,8,161,0,0
